Entity,Code,Year,"Suicide mortality rate per 100,000 population",Continent
Egypt,EGY,2005,3.1,Africa
Benin,BEN,2006,8.6,Africa
Botswana,BWA,2006,32,Africa
Cameroon,CMR,2006,11.7,Africa
Chad,TCD,2006,7.5,Africa
Ghana,GHA,2006,7,Africa
Kenya,KEN,2006,6,Africa
Madagascar,MDG,2006,5.8,Africa
Malawi,MWI,2006,7.5,Africa
Mali,MLI,2006,4.5,Africa
Mozambique,MOZ,2006,12.6,Africa
Niger,NER,2006,5.2,Africa
Nigeria,NGA,2006,4.7,Africa
Rwanda,RWA,2006,8.4,Africa
Senegal,SEN,2006,7,Africa
Sierra Leone,SLE,2006,6.5,Africa
South Africa,ZAF,2006,23.6,Africa
Tanzania,TZA,2006,5.3,Africa
Togo,TGO,2006,11,Africa
Uganda,UGA,2006,9.4,Africa
Zambia,ZMB,2006,11.7,Africa
Zimbabwe,ZWE,2006,14.4,Africa
Cameroon,CMR,2007,11.4,Africa
Central African Republic,CAF,2007,15.4,Africa
Chad,TCD,2007,7.7,Africa
Egypt,EGY,2007,3.1,Africa
Ghana,GHA,2007,7.2,Africa
Kenya,KEN,2007,6.3,Africa
Liberia,LBR,2007,4.9,Africa
Malawi,MWI,2007,7.8,Africa
Mauritania,MRT,2007,3.2,Africa
Mozambique,MOZ,2007,12.6,Africa
Namibia,NAM,2007,17.3,Africa
Niger,NER,2007,5.3,Africa
Nigeria,NGA,2007,4.7,Africa
Senegal,SEN,2007,6.7,Africa
Sierra Leone,SLE,2007,6.4,Africa
South Africa,ZAF,2007,24.6,Africa
Tanzania,TZA,2007,5.4,Africa
Uganda,UGA,2007,8,Africa
Zambia,ZMB,2007,10.3,Africa
Zimbabwe,ZWE,2007,17.2,Africa
Benin,BEN,2008,8.2,Africa
Botswana,BWA,2008,28.4,Africa
Burundi,BDI,2008,7.9,Africa
Cameroon,CMR,2008,11.2,Africa
Chad,TCD,2008,7.5,Africa
Congo,COG,2008,8.9,Africa
Djibouti,DJI,2008,7.6,Africa
Egypt,EGY,2008,3.1,Africa
Ghana,GHA,2008,7.5,Africa
Kenya,KEN,2008,6.2,Africa
Liberia,LBR,2008,4.8,Africa
Madagascar,MDG,2008,5.7,Africa
Mali,MLI,2008,4.6,Africa
Mauritania,MRT,2008,3.1,Africa
Mozambique,MOZ,2008,13.5,Africa
Niger,NER,2008,5.2,Africa
Nigeria,NGA,2008,4.6,Africa
Rwanda,RWA,2008,7.5,Africa
Senegal,SEN,2008,6.8,Africa
Sierra Leone,SLE,2008,6.5,Africa
South Africa,ZAF,2008,26.7,Africa
Tanzania,TZA,2008,5.8,Africa
Togo,TGO,2008,10.8,Africa
Uganda,UGA,2008,7.1,Africa
Zambia,ZMB,2008,9.7,Africa
Zimbabwe,ZWE,2008,20.1,Africa
Burundi,BDI,2009,7.7,Africa
Cameroon,CMR,2009,11.1,Africa
Chad,TCD,2009,7.6,Africa
Comoros,COM,2009,5,Africa
Djibouti,DJI,2009,7.8,Africa
Egypt,EGY,2009,3.1,Africa
Ghana,GHA,2009,7.6,Africa
Kenya,KEN,2009,6,Africa
Malawi,MWI,2009,8,Africa
Mali,MLI,2009,4.6,Africa
Mauritania,MRT,2009,3.1,Africa
Niger,NER,2009,5.3,Africa
Nigeria,NGA,2009,4.5,Africa
Rwanda,RWA,2009,7,Africa
Senegal,SEN,2009,6.7,Africa
South Africa,ZAF,2009,26.7,Africa
Sudan,SDN,2009,4.1,Africa
Tanzania,TZA,2009,5.5,Africa
Tunisia,TUN,2009,3.5,Africa
Uganda,UGA,2009,6.8,Africa
Zambia,ZMB,2009,9.8,Africa
Zimbabwe,ZWE,2009,22.2,Africa
Algeria,DZA,2010,3,Africa
Botswana,BWA,2010,24.4,Africa
Cameroon,CMR,2010,10.8,Africa
Central African Republic,CAF,2010,15.8,Africa
Chad,TCD,2010,7.7,Africa
Comoros,COM,2010,5.6,Africa
Djibouti,DJI,2010,8.2,Africa
Egypt,EGY,2010,3.2,Africa
Ghana,GHA,2010,7.8,Africa
Kenya,KEN,2010,6,Africa
Liberia,LBR,2010,4.9,Africa
Mali,MLI,2010,4.5,Africa
Mauritania,MRT,2010,3.1,Africa
Morocco,MAR,2010,9.2,Africa
Niger,NER,2010,5.3,Africa
Nigeria,NGA,2010,4.4,Africa
Senegal,SEN,2010,6.6,Africa
Sierra Leone,SLE,2010,6.8,Africa
South Africa,ZAF,2010,24.6,Africa
Sudan,SDN,2010,4,Africa
Tanzania,TZA,2010,5,Africa
Tunisia,TUN,2010,3.5,Africa
Uganda,UGA,2010,6.3,Africa
Zimbabwe,ZWE,2010,21.5,Africa
Algeria,DZA,2011,3,Africa
Angola,AGO,2011,6.6,Africa
Benin,BEN,2011,8.5,Africa
Botswana,BWA,2011,22.7,Africa
Burundi,BDI,2011,7.4,Africa
Cameroon,CMR,2011,10.8,Africa
Central African Republic,CAF,2011,15.4,Africa
Chad,TCD,2011,7.7,Africa
Comoros,COM,2011,5.1,Africa
Congo,COG,2011,8.7,Africa
Djibouti,DJI,2011,8.5,Africa
Egypt,EGY,2011,3.3,Africa
Gabon,GAB,2011,10,Africa
Ghana,GHA,2011,7.8,Africa
Guinea,GIN,2011,7,Africa
Kenya,KEN,2011,5.9,Africa
Lesotho,LSO,2011,69.5,Africa
Madagascar,MDG,2011,5.7,Africa
Malawi,MWI,2011,7.3,Africa
Mali,MLI,2011,4.5,Africa
Mauritania,MRT,2011,3,Africa
Mauritius,MUS,2011,9,Africa
Morocco,MAR,2011,9.2,Africa
Mozambique,MOZ,2011,15.3,Africa
Niger,NER,2011,5.4,Africa
Rwanda,RWA,2011,6.2,Africa
Senegal,SEN,2011,6.5,Africa
Sierra Leone,SLE,2011,6.5,Africa
South Africa,ZAF,2011,22.4,Africa
Sudan,SDN,2011,4.1,Africa
Tanzania,TZA,2011,4.8,Africa
Togo,TGO,2011,10.4,Africa
Tunisia,TUN,2011,3.4,Africa
Uganda,UGA,2011,6.3,Africa
Zambia,ZMB,2011,10.3,Africa
Zimbabwe,ZWE,2011,20.7,Africa
Algeria,DZA,2012,2.9,Africa
Angola,AGO,2012,6.9,Africa
Benin,BEN,2012,8.3,Africa
Botswana,BWA,2012,22.6,Africa
Cameroon,CMR,2012,10.6,Africa
Chad,TCD,2012,7.6,Africa
Comoros,COM,2012,5.2,Africa
Congo,COG,2012,8.9,Africa
Egypt,EGY,2012,3.4,Africa
Ethiopia,ETH,2012,6.1,Africa
Gabon,GAB,2012,8.9,Africa
Ghana,GHA,2012,7.8,Africa
Guinea,GIN,2012,7.1,Africa
Kenya,KEN,2012,5.9,Africa
Libya,LBY,2012,5.7,Africa
Madagascar,MDG,2012,5.6,Africa
Malawi,MWI,2012,6.8,Africa
Mali,MLI,2012,4.5,Africa
Mauritania,MRT,2012,3.1,Africa
Morocco,MAR,2012,8.9,Africa
Niger,NER,2012,5.5,Africa
Nigeria,NGA,2012,4.2,Africa
Rwanda,RWA,2012,6,Africa
Senegal,SEN,2012,6.5,Africa
South Africa,ZAF,2012,22.9,Africa
Sudan,SDN,2012,4,Africa
Tanzania,TZA,2012,4.3,Africa
Tunisia,TUN,2012,3.4,Africa
Uganda,UGA,2012,5.7,Africa
Zambia,ZMB,2012,9.4,Africa
Zimbabwe,ZWE,2012,19.7,Africa
Angola,AGO,2013,6.9,Africa
Benin,BEN,2013,8.3,Africa
Botswana,BWA,2013,21.6,Africa
Cameroon,CMR,2013,10.4,Africa
Chad,TCD,2013,7.4,Africa
Congo,COG,2013,8.2,Africa
Egypt,EGY,2013,3.4,Africa
Ethiopia,ETH,2013,5.7,Africa
Gabon,GAB,2013,8.6,Africa
Ghana,GHA,2013,7.7,Africa
Guinea,GIN,2013,7.3,Africa
Kenya,KEN,2013,5.9,Africa
Madagascar,MDG,2013,5.6,Africa
Malawi,MWI,2013,6.4,Africa
Mali,MLI,2013,4.5,Africa
Mauritania,MRT,2013,3.1,Africa
Morocco,MAR,2013,8,Africa
Niger,NER,2013,5.5,Africa
Nigeria,NGA,2013,4.1,Africa
Rwanda,RWA,2013,5.8,Africa
Senegal,SEN,2013,6.5,Africa
Sierra Leone,SLE,2013,6.3,Africa
South Africa,ZAF,2013,23.7,Africa
Tanzania,TZA,2013,4.4,Africa
Tunisia,TUN,2013,3.3,Africa
Uganda,UGA,2013,5.2,Africa
Zambia,ZMB,2013,9.1,Africa
Zimbabwe,ZWE,2013,18.6,Africa
Algeria,DZA,2014,2.8,Africa
Angola,AGO,2014,6.4,Africa
Benin,BEN,2014,8.2,Africa
Botswana,BWA,2014,19.6,Africa
Burundi,BDI,2014,6.7,Africa
Cameroon,CMR,2014,10,Africa
Chad,TCD,2014,7.1,Africa
Congo,COG,2014,7.5,Africa
Egypt,EGY,2014,3.3,Africa
Ethiopia,ETH,2014,5.5,Africa
Gabon,GAB,2014,9.8,Africa
Ghana,GHA,2014,7.5,Africa
Guinea,GIN,2014,7.1,Africa
Kenya,KEN,2014,5.7,Africa
Liberia,LBR,2014,4.9,Africa
Madagascar,MDG,2014,5.6,Africa
Malawi,MWI,2014,6.3,Africa
Mali,MLI,2014,4.4,Africa
Mauritania,MRT,2014,3.1,Africa
Mauritius,MUS,2014,10.2,Africa
Namibia,NAM,2014,10.9,Africa
Niger,NER,2014,5.5,Africa
Rwanda,RWA,2014,5.8,Africa
Senegal,SEN,2014,6.5,Africa
Sierra Leone,SLE,2014,6.2,Africa
Somalia,SOM,2014,8.1,Africa
South Africa,ZAF,2014,24.1,Africa
South Sudan,SSD,2014,3.5,Africa
Sudan,SDN,2014,3.9,Africa
Tanzania,TZA,2014,4.2,Africa
Togo,TGO,2014,10.1,Africa
Tunisia,TUN,2014,3.2,Africa
Uganda,UGA,2014,4.8,Africa
Zambia,ZMB,2014,9,Africa
Zimbabwe,ZWE,2014,18.2,Africa
Benin,BEN,2015,8.1,Africa
Botswana,BWA,2015,19,Africa
Cameroon,CMR,2015,9.5,Africa
Chad,TCD,2015,6.8,Africa
Congo,COG,2015,6.8,Africa
Egypt,EGY,2015,3.3,Africa
Ethiopia,ETH,2015,5.5,Africa
Gabon,GAB,2015,9.6,Africa
Ghana,GHA,2015,7.3,Africa
Guinea,GIN,2015,7.2,Africa
Kenya,KEN,2015,5.5,Africa
Liberia,LBR,2015,4.5,Africa
Libya,LBY,2015,5.6,Africa
Madagascar,MDG,2015,5.5,Africa
Malawi,MWI,2015,6.2,Africa
Mali,MLI,2015,4.3,Africa
Mauritania,MRT,2015,3,Africa
Morocco,MAR,2015,7.4,Africa
Mozambique,MOZ,2015,13.9,Africa
Niger,NER,2015,5.4,Africa
Nigeria,NGA,2015,3.7,Africa
Rwanda,RWA,2015,5.7,Africa
Senegal,SEN,2015,6.4,Africa
Sierra Leone,SLE,2015,5.9,Africa
Somalia,SOM,2015,8,Africa
South Africa,ZAF,2015,24.5,Africa
South Sudan,SSD,2015,3.6,Africa
Tanzania,TZA,2015,4.2,Africa
Togo,TGO,2015,9.7,Africa
Tunisia,TUN,2015,3.1,Africa
Uganda,UGA,2015,4.7,Africa
Zambia,ZMB,2015,8.7,Africa
Zimbabwe,ZWE,2015,18,Africa
Algeria,DZA,2016,2.6,Africa
Benin,BEN,2016,8,Africa
Botswana,BWA,2016,17.8,Africa
Cameroon,CMR,2016,9.2,Africa
Central African Republic,CAF,2016,13.7,Africa
Chad,TCD,2016,6.7,Africa
Congo,COG,2016,6.7,Africa
Egypt,EGY,2016,3.2,Africa
Ethiopia,ETH,2016,5.5,Africa
Gabon,GAB,2016,9.2,Africa
Ghana,GHA,2016,7.2,Africa
Guinea,GIN,2016,7.1,Africa
Kenya,KEN,2016,5.4,Africa
Lesotho,LSO,2016,87,Africa
Liberia,LBR,2016,4.5,Africa
Libya,LBY,2016,5,Africa
Madagascar,MDG,2016,5.5,Africa
Malawi,MWI,2016,6.1,Africa
Mali,MLI,2016,4.2,Africa
Mauritania,MRT,2016,3,Africa
Mauritius,MUS,2016,8.1,Africa
Morocco,MAR,2016,7.2,Africa
Niger,NER,2016,5.3,Africa
Nigeria,NGA,2016,3.7,Africa
Rwanda,RWA,2016,5.7,Africa
Senegal,SEN,2016,6.3,Africa
Sierra Leone,SLE,2016,6.2,Africa
Somalia,SOM,2016,7.9,Africa
South Africa,ZAF,2016,24.4,Africa
South Sudan,SSD,2016,3.7,Africa
Tanzania,TZA,2016,4.2,Africa
Togo,TGO,2016,9.3,Africa
Tunisia,TUN,2016,3.1,Africa
Uganda,UGA,2016,4.7,Africa
Zambia,ZMB,2016,8.5,Africa
Zimbabwe,ZWE,2016,16.8,Africa
Algeria,DZA,2017,2.5,Africa
Benin,BEN,2017,8,Africa
Botswana,BWA,2017,17.4,Africa
Cameroon,CMR,2017,9,Africa
Central African Republic,CAF,2017,14.3,Africa
Chad,TCD,2017,6.7,Africa
Congo,COG,2017,6.6,Africa
Egypt,EGY,2017,3,Africa
Ethiopia,ETH,2017,5.4,Africa
Gabon,GAB,2017,8.8,Africa
Gambia,GMB,2017,4.9,Africa
Ghana,GHA,2017,7,Africa
Guinea,GIN,2017,7,Africa
Kenya,KEN,2017,5.6,Africa
Lesotho,LSO,2017,78.3,Africa
Liberia,LBR,2017,4.5,Africa
Libya,LBY,2017,5.5,Africa
Madagascar,MDG,2017,5.5,Africa
Malawi,MWI,2017,5.9,Africa
Mali,MLI,2017,4.1,Africa
Mauritania,MRT,2017,3.1,Africa
Mauritius,MUS,2017,9.6,Africa
Morocco,MAR,2017,7.1,Africa
Mozambique,MOZ,2017,13.4,Africa
Namibia,NAM,2017,10.9,Africa
Niger,NER,2017,5.3,Africa
Nigeria,NGA,2017,3.6,Africa
Rwanda,RWA,2017,5.6,Africa
Senegal,SEN,2017,6.2,Africa
Sierra Leone,SLE,2017,6.3,Africa
South Africa,ZAF,2017,25.2,Africa
South Sudan,SSD,2017,3.7,Africa
Tanzania,TZA,2017,4.2,Africa
Togo,TGO,2017,9,Africa
Tunisia,TUN,2017,3.1,Africa
Uganda,UGA,2017,4.4,Africa
Zambia,ZMB,2017,8.5,Africa
Zimbabwe,ZWE,2017,15,Africa
Algeria,DZA,2018,2.5,Africa
Benin,BEN,2018,7.9,Africa
Botswana,BWA,2018,17.4,Africa
Burundi,BDI,2018,6.3,Africa
Cameroon,CMR,2018,8.9,Africa
Chad,TCD,2018,6.6,Africa
Comoros,COM,2018,5.4,Africa
Congo,COG,2018,6.5,Africa
Egypt,EGY,2018,3,Africa
Ethiopia,ETH,2018,5.4,Africa
Gabon,GAB,2018,8.6,Africa
Gambia,GMB,2018,4.8,Africa
Ghana,GHA,2018,6.6,Africa
Guinea,GIN,2018,6.9,Africa
Kenya,KEN,2018,6,Africa
Liberia,LBR,2018,4.4,Africa
Libya,LBY,2018,5.8,Africa
Madagascar,MDG,2018,5.5,Africa
Malawi,MWI,2018,5.6,Africa
Mali,MLI,2018,4.1,Africa
Mauritania,MRT,2018,3.1,Africa
Mauritius,MUS,2018,8.7,Africa
Morocco,MAR,2018,7.2,Africa
Mozambique,MOZ,2018,13.5,Africa
Namibia,NAM,2018,9.9,Africa
Niger,NER,2018,5.3,Africa
Nigeria,NGA,2018,3.5,Africa
Rwanda,RWA,2018,5.6,Africa
Senegal,SEN,2018,6.1,Africa
Sierra Leone,SLE,2018,6.6,Africa
South Africa,ZAF,2018,24.1,Africa
Tanzania,TZA,2018,4.2,Africa
Togo,TGO,2018,8.7,Africa
Tunisia,TUN,2018,3.2,Africa
Uganda,UGA,2018,4.4,Africa
Zambia,ZMB,2018,8.1,Africa
Zimbabwe,ZWE,2018,14,Africa
Algeria,DZA,2019,2.5,Africa
Benin,BEN,2019,7.8,Africa
Botswana,BWA,2019,16.1,Africa
Cameroon,CMR,2019,9,Africa
Chad,TCD,2019,6.4,Africa
Comoros,COM,2019,5.4,Africa
Congo,COG,2019,6.5,Africa
Egypt,EGY,2019,3,Africa
Ethiopia,ETH,2019,5.4,Africa
Gabon,GAB,2019,8.4,Africa
Gambia,GMB,2019,4.8,Africa
Ghana,GHA,2019,6.6,Africa
Guinea,GIN,2019,7,Africa
Kenya,KEN,2019,6.1,Africa
Lesotho,LSO,2019,72.4,Africa
Liberia,LBR,2019,4.5,Africa
Libya,LBY,2019,4.5,Africa
Madagascar,MDG,2019,5.5,Africa
Malawi,MWI,2019,5.4,Africa
Mali,MLI,2019,4.1,Africa
Mauritania,MRT,2019,3.1,Africa
Mauritius,MUS,2019,9.5,Africa
Morocco,MAR,2019,7.2,Africa
Mozambique,MOZ,2019,13.6,Africa
Namibia,NAM,2019,9.7,Africa
Niger,NER,2019,5.3,Africa
Nigeria,NGA,2019,3.5,Africa
Rwanda,RWA,2019,5.6,Africa
Senegal,SEN,2019,6,Africa
Sierra Leone,SLE,2019,6.7,Africa
South Africa,ZAF,2019,23.5,Africa
Tanzania,TZA,2019,4.3,Africa
Togo,TGO,2019,8.8,Africa
Tunisia,TUN,2019,3.3,Africa
Uganda,UGA,2019,4.6,Africa
Zambia,ZMB,2019,7.3,Africa
Zimbabwe,ZWE,2019,14.1,Africa
Iran,IRN,2005,6.3,Asia
Japan,JPN,2005,24.3,Asia
Jordan,JOR,2005,2,Asia
Lebanon,LBN,2005,2.7,Asia
Pakistan,PAK,2005,9,Asia
Saudi Arabia,SAU,2005,3.7,Asia
Turkey,TUR,2005,2.8,Asia
Bangladesh,BGD,2006,5,Asia
Cambodia,KHM,2006,5.7,Asia
China,CHN,2006,12.1,Asia
India,IND,2006,15.6,Asia
Indonesia,IDN,2006,2.9,Asia
Israel,ISR,2006,5.5,Asia
Kazakhstan,KAZ,2006,38,Asia
Kuwait,KWT,2006,2.7,Asia
Kyrgyzstan,KGZ,2006,13.1,Asia
Laos,LAO,2006,6.4,Asia
Lebanon,LBN,2006,2.5,Asia
Malaysia,MYS,2006,4.5,Asia
Nepal,NPL,2006,7.7,Asia
Philippines,PHL,2006,2,Asia
Sri Lanka,LKA,2006,18.3,Asia
Tajikistan,TJK,2006,3.6,Asia
Thailand,THA,2006,8.9,Asia
United Arab Emirates,ARE,2006,8.3,Asia
Uzbekistan,UZB,2006,8.8,Asia
Vietnam,VNM,2006,6.4,Asia
Bangladesh,BGD,2007,4.9,Asia
Cambodia,KHM,2007,5.7,Asia
China,CHN,2007,11.5,Asia
India,IND,2007,15.3,Asia
Indonesia,IDN,2007,2.9,Asia
Iran,IRN,2007,6.4,Asia
Israel,ISR,2007,5.2,Asia
Japan,JPN,2007,25,Asia
Jordan,JOR,2007,1.7,Asia
Kazakhstan,KAZ,2007,38,Asia
Kyrgyzstan,KGZ,2007,12.6,Asia
Laos,LAO,2007,6.3,Asia
Malaysia,MYS,2007,4.4,Asia
Mongolia,MNG,2007,23.6,Asia
Nepal,NPL,2007,8,Asia
Pakistan,PAK,2007,9.1,Asia
Philippines,PHL,2007,1.9,Asia
Saudi Arabia,SAU,2007,4.3,Asia
Sri Lanka,LKA,2007,20,Asia
Tajikistan,TJK,2007,3.7,Asia
Thailand,THA,2007,8.4,Asia
Turkey,TUR,2007,2.5,Asia
Vietnam,VNM,2007,6.7,Asia
Yemen,YEM,2007,5.8,Asia
Afghanistan,AFG,2008,4.6,Asia
Bangladesh,BGD,2008,4.7,Asia
Cambodia,KHM,2008,5.6,Asia
China,CHN,2008,11.1,Asia
India,IND,2008,15.1,Asia
Indonesia,IDN,2008,2.8,Asia
Iran,IRN,2008,6.2,Asia
Iraq,IRQ,2008,3.6,Asia
Israel,ISR,2008,5.3,Asia
Japan,JPN,2008,24.4,Asia
Jordan,JOR,2008,1.7,Asia
Kazakhstan,KAZ,2008,34.6,Asia
Kyrgyzstan,KGZ,2008,12.3,Asia
Laos,LAO,2008,6.3,Asia
Lebanon,LBN,2008,2.9,Asia
Malaysia,MYS,2008,4.5,Asia
Mongolia,MNG,2008,23.8,Asia
Nepal,NPL,2008,8.3,Asia
Pakistan,PAK,2008,9,Asia
Philippines,PHL,2008,2,Asia
Saudi Arabia,SAU,2008,4.6,Asia
Sri Lanka,LKA,2008,17.5,Asia
Syria,SYR,2008,1.4,Asia
Tajikistan,TJK,2008,3.8,Asia
Thailand,THA,2008,8.1,Asia
Turkey,TUR,2008,2.4,Asia
Uzbekistan,UZB,2008,8.5,Asia
Vietnam,VNM,2008,6.9,Asia
Afghanistan,AFG,2009,4.4,Asia
Bahrain,BHR,2009,8.6,Asia
Bangladesh,BGD,2009,4.6,Asia
Cambodia,KHM,2009,5.4,Asia
China,CHN,2009,10.7,Asia
India,IND,2009,14.5,Asia
Indonesia,IDN,2009,2.7,Asia
Iraq,IRQ,2009,3.7,Asia
Israel,ISR,2009,6,Asia
Japan,JPN,2009,24.9,Asia
Jordan,JOR,2009,1.6,Asia
Kazakhstan,KAZ,2009,30.3,Asia
Kuwait,KWT,2009,2.7,Asia
Kyrgyzstan,KGZ,2009,11.9,Asia
Lebanon,LBN,2009,3,Asia
Malaysia,MYS,2009,4.6,Asia
Nepal,NPL,2009,8.5,Asia
Pakistan,PAK,2009,8.8,Asia
Philippines,PHL,2009,2.3,Asia
Qatar,QAT,2009,8.4,Asia
Saudi Arabia,SAU,2009,5,Asia
Sri Lanka,LKA,2009,22.7,Asia
Syria,SYR,2009,1.4,Asia
Tajikistan,TJK,2009,3.9,Asia
Thailand,THA,2009,8,Asia
Turkey,TUR,2009,2.4,Asia
Turkmenistan,TKM,2009,9.4,Asia
United Arab Emirates,ARE,2009,8.5,Asia
Uzbekistan,UZB,2009,8,Asia
Vietnam,VNM,2009,6.9,Asia
Yemen,YEM,2009,5.9,Asia
Afghanistan,AFG,2010,4.3,Asia
Bahrain,BHR,2010,8.2,Asia
Bangladesh,BGD,2010,4.4,Asia
Cambodia,KHM,2010,5.4,Asia
China,CHN,2010,10.2,Asia
India,IND,2010,14.6,Asia
Indonesia,IDN,2010,2.6,Asia
Iraq,IRQ,2010,3.9,Asia
Israel,ISR,2010,6.7,Asia
Japan,JPN,2010,24.1,Asia
Jordan,JOR,2010,1.5,Asia
Kazakhstan,KAZ,2010,29.9,Asia
Kuwait,KWT,2010,2.5,Asia
Kyrgyzstan,KGZ,2010,11.4,Asia
Lebanon,LBN,2010,3,Asia
Malaysia,MYS,2010,4.5,Asia
Mongolia,MNG,2010,23.4,Asia
Nepal,NPL,2010,8.7,Asia
Pakistan,PAK,2010,8.8,Asia
Philippines,PHL,2010,2.4,Asia
Qatar,QAT,2010,8.2,Asia
Saudi Arabia,SAU,2010,5.5,Asia
Sri Lanka,LKA,2010,21.9,Asia
Syria,SYR,2010,1.5,Asia
Tajikistan,TJK,2010,4,Asia
Thailand,THA,2010,8.1,Asia
Turkey,TUR,2010,2.4,Asia
United Arab Emirates,ARE,2010,8.4,Asia
Uzbekistan,UZB,2010,8.1,Asia
Vietnam,VNM,2010,7,Asia
Yemen,YEM,2010,5.7,Asia
Afghanistan,AFG,2011,4.1,Asia
Bahrain,BHR,2011,7.9,Asia
Bangladesh,BGD,2011,4,Asia
Cambodia,KHM,2011,5.3,Asia
China,CHN,2011,9.6,Asia
India,IND,2011,14.7,Asia
Indonesia,IDN,2011,2.6,Asia
Iran,IRN,2011,6.8,Asia
Iraq,IRQ,2011,4.1,Asia
Israel,ISR,2011,5.7,Asia
Japan,JPN,2011,23.4,Asia
Jordan,JOR,2011,1.5,Asia
Kazakhstan,KAZ,2011,28.7,Asia
Kuwait,KWT,2011,2.3,Asia
Kyrgyzstan,KGZ,2011,11.3,Asia
Laos,LAO,2011,5.9,Asia
Lebanon,LBN,2011,3,Asia
Malaysia,MYS,2011,4.6,Asia
Mongolia,MNG,2011,22.7,Asia
Nepal,NPL,2011,8.9,Asia
Oman,OMN,2011,6.1,Asia
Pakistan,PAK,2011,8.7,Asia
Philippines,PHL,2011,2.7,Asia
Qatar,QAT,2011,8,Asia
Saudi Arabia,SAU,2011,6.1,Asia
Sri Lanka,LKA,2011,17.9,Asia
Syria,SYR,2011,1.5,Asia
Tajikistan,TJK,2011,4,Asia
